input,target
30 * 2,60.0
65 + 56,121.0
7 * 84,588.0
24 - 18,6.0
2 - 2,0.0
33 * 85,2805.0
74 - 83,-9.0
12 + 27,39.0
25 + 72,97.0
1 - 96,-95.0
64 - 22,42.0
64 - 26,38.0
50 - 29,21.0
14 - 26,-12.0
17 / 97,0.18
62 + 61,123.0
10 * 28,280.0
75 - 33,42.0
5 - 22,-17.0
83 * 85,7055.0
21 * 95,1995.0
57 / 38,1.5
80 * 38,3040.0
99 / 22,4.5
3 * 80,240.0
96 / 96,1.0
60 / 16,3.75
42 + 69,111.0
33 - 96,-63.0
61 - 58,3.0
77 / 67,1.15
11 / 79,0.14
64 / 61,1.05
69 / 16,4.31
35 / 43,0.81
67 + 74,141.0
1 - 62,-61.0
56 * 100,5600.0
43 + 41,84.0
1 * 60,60.0
77 / 87,0.89
68 * 71,4828.0
59 / 47,1.26
77 - 48,29.0
32 * 23,736.0
44 / 66,0.67
31 * 85,2635.0
32 - 44,-12.0
81 / 88,0.92
30 * 41,1230.0
